title,author,year,genre,audience,pages,goodreads_rating,tags
Ojousama no Untenshu (The Heiress and the Chauffeur),"Ishihara, Keiko",2010.0,Manga,young_adult,,3.73,manga young_adult
Hell's Kitchen,"Amazi, Gumi",2010.0,Manga,young_adult,,3.73,comedy food manga slice-of-life supernatural young_adult
Bouken Elektriciteit-tou (Wandering Island),"Tsuruta, Kenji",2010.0,Manga,adult,,3.73,adult manga
Alice-san Chi no Iroribata,"Kinami, Bunta",2020.0,Slice of Life,adult,,3.73,adult food manga slice-of-life
Egaku Nara Happy Ending,"Ozaki, Ira",2008.0,Manga,young_adult,,3.73,manga young_adult
Kanojo wo Mamoru 51 no Houhou (51 Ways to Save Her),"Furuya, Usamaru",2006.0,Action,adult,,3.73,action adult drama manga romance
Aozora no Sunda Iro wa (The Color of the Clear Blue Sky),"Tenzen, Momoko",2008.0,Romance,adult,,3.73,lgbt manga romance
Bad∞End∞Night: Insane Party (Hatsune Miku: Bad∞End∞Night),"Nozaki, Tsubata",2014.0,Mystery,adult,,3.73,drama manga mystery
Erementar Gerad (Elemental Gelade),"Azuma, Mayumi",2002.0,Fantasy,young_adult,,3.73,action adventure fantasy manga romance young_adult
Basilisk: Kouga Ninpouchou (Basilisk: The Kouga Ninja Scrolls),"Yamada, Fuutarou",2003.0,Historical,adult,,3.73,action adult combat drama historical manga martial-arts romance
B.O.D.Y.,"Mimori, Ao",2003.0,Romance,young_adult,,3.73,drama manga romance young_adult
Yasashii Ryuu no Koroshikata,"Tsumori, Tokio",2005.0,Fantasy,adult,,3.72,action adventure fantasy lgbt manga romance
Soil,"Kaneko, Atsushi",2004.0,Manga,adult,,3.72,adult manga
Bokura wa Itsumo,"Fujimiya, Ayu",2007.0,Manga,young_adult,,3.72,manga young_adult
Kigi no Yukue,"Eban, Fumi",,Romance,young_adult,,3.72,drama manga romance young_adult
Elixir of the Sun,Solddam,2020.0,Fantasy,adult,,3.72,drama fantasy manga romance
Sleeping Dead,"Asada, Nemui",2020.0,Horror,adult,,3.72,brutal dark gore horror lgbt manga mind psychological
GJ-bu,"Araki, Shin",2010.0,Slice of Life,adult,,3.72,comedy manga slice-of-life
Ichi Ni no San!,"Okuyama, Puku",2011.0,Manga,adult,,3.72,manga
Sougiya Riddle,"Akai, Higasa",2009.0,Comedy,young_adult,,3.72,comedy manga supernatural young_adult
Worst Gaiden,"Takahashi, Hiroshi",2009.0,Manga,young_adult,,3.72,manga young_adult
Kindaichi Shounen no Jikenbo - Short File Series,"Kibayashi, Shin",1997.0,Manga,young_adult,,3.72,manga young_adult
Fukushuu wo Chikatta Shironeko wa Ryuuou no Hiza no Ue de Damin wo Musaboru (The White Cat's Revenge as Plotted from the Dragon King's Lap),Aki,2017.0,Manga,adult,,3.72,manga
Jahy-sama wa Kujikenai! (The Great Jahy Will Not Be Defeated!),"Konbu, Wakame",2017.0,Comedy,young_adult,,3.72,comedy manga supernatural young_adult
Kakao 79%,"Aoi, Umi",2015.0,Romance,adult,,3.72,comedy manga romance
 no Tsuki (Yurara),"Shiomi, Chika",2003.0,Mystery,young_adult,,3.72,manga mystery supernatural young_adult
Mint na Bokura,"Yoshizumi, Wataru",1997.0,Manga,young_adult,,3.72,comedy coming-of-age drama gender manga romance school young_adult
Me wa Kuchi hodo ni Koi to Iu,hagi,2018.0,Manga,adult,,3.72,manga
Tongari Boushi no Kitchen (Witch Hat Atelier Kitchen),"Satou, Hiromi",2019.0,Fantasy,adult,,3.72,adult comedy fantasy food manga slice-of-life
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu. (The Most Heretical Last Boss Queen: From Villainess to Savior),"Matsuura, Bunko",2020.0,Romance,adult,,3.72,fantasy isekai manga parallel-world romance
Ichizu Bitch-chan,Ironon,2020.0,Manga,adult,,3.72,manga
86: Operation High School,"Asato, Asato",2020.0,Slice of Life,adult,,3.72,adult comedy manga romance slice-of-life
Parasol Doumei (A Parasol Alliance),"Miura, Kouji",2020.0,Romance,young_adult,,3.72,comedy manga romance young_adult
Genjitsu de Love Comedy Dekinai to Dare ga Kimeta? (Who Decided That I Can't Do Romantic Comedy in Reality?),"Hajikano, Sou",2020.0,Romance,adult,,3.72,comedy manga romance
Fangkai Nage Nuwu (Release That Witch),Er Mu,2019.0,Fantasy,adult,,3.72,action adventure fantasy manga
Kijin Gentoushou (Sword of the Demon Hunter: Kijin Gentoushou),"Satomi, Yuu",2021.0,Fantasy,adult,,3.72,action adventure fantasy manga
